algo,lightgbm
dataset,airline
trees,10
batch_size,23013804
framework,HummingbirdPytorchGPU
max_gpu_usage,100
max_mem_usage,13197
max_pyt_usage,12745

gpu_usage,22,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,5,5,3,3,6,6,6,6,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,5,55,55,87,87,100,100,100,100,100,100,100,100,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mem_usage,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,450,462,462,573,599,621,659,683,701,743,753,783,813,831,867,889,923,951,971,989,1031,1057,1093,1113,1145,1171,1211,1237,1269,1297,2441,2441,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197
